,amzn,fb,googl,msft,avg,msft_above_daily_avg,amzn_above_daily_avg,googl_above_daily_avg,fb_above_daily_avg
1999-04-22,190.1,,,84.94,137.51999999999998,False,True,False,False
1999-04-23,210.1,,,86.0,148.05,False,True,False,False
1999-04-24,,,,,,False,False,False,False
1999-04-25,,,,,,False,False,False,False
1999-04-26,207.2,,,88.0,147.6,False,True,False,False
1999-04-27,205.9,,,84.0,144.95,False,True,False,False
1999-04-28,193.5,,,82.12,137.81,False,True,False,False
1999-04-29,168.3,,,82.06,125.18,False,True,False,False
1999-04-30,172.1,,,81.31,126.705,False,True,False,False
1999-05-01,,,,,,False,False,False,False
1999-05-02,,,,,,False,False,False,False
1999-05-03,150.9,,,79.87,115.385,False,True,False,False
1999-05-04,143.0,,,78.06,110.53,False,True,False,False
1999-05-05,146.5,,,79.12,112.81,False,True,False,False
1999-05-06,137.4,,,77.94,107.67,False,True,False,False
1999-05-07,136.4,,,79.06,107.73,False,True,False,False
1999-05-08,,,,,,False,False,False,False
1999-05-09,,,,,,False,False,False,False
1999-05-10,146.9,,,79.69,113.295,False,True,False,False
1999-05-11,148.4,,,79.87,114.135,False,True,False,False
1999-05-12,142.9,,,80.5,111.7,False,True,False,False
1999-05-13,136.0,,,79.12,107.56,False,True,False,False
1999-05-14,132.4,,,76.87,104.635,False,True,False,False
1999-05-15,,,,,,False,False,False,False
1999-05-16,,,,,,False,False,False,False
1999-05-17,137.6,,,79.12,108.36,False,True,False,False
1999-05-18,132.6,,,78.69,105.645,False,True,False,False
1999-05-19,139.6,,,79.31,109.455,False,True,False,False
1999-05-20,130.8,,,78.44,104.62,False,True,False,False
1999-05-21,128.6,,,77.56,103.08,False,True,False,False
1999-05-22,,,,,,False,False,False,False
1999-05-23,,,,,,False,False,False,False
1999-05-24,117.5,,,77.25,97.375,False,True,False,False
1999-05-25,111.6,,,76.25,93.925,False,True,False,False
1999-05-26,120.9,,,78.5,99.7,False,True,False,False
1999-05-27,114.6,,,78.37,96.485,False,True,False,False
1999-05-28,118.8,,,80.69,99.745,False,True,False,False
1999-05-29,,,,,,False,False,False,False
1999-05-30,,,,,,False,False,False,False
1999-05-31,,,,,,False,False,False,False
1999-06-01,105.8,,,78.5,92.15,False,True,False,False
1999-06-02,112.1,,,78.44,95.27,False,True,False,False
1999-06-03,105.1,,,76.37,90.735,False,True,False,False
1999-06-04,108.4,,,79.56,93.98,False,True,False,False
1999-06-05,,,,,,False,False,False,False
1999-06-06,,,,,,False,False,False,False
1999-06-07,117.4,,,80.25,98.825,False,True,False,False
1999-06-08,111.6,,,79.37,95.485,False,True,False,False
1999-06-09,114.0,,,82.31,98.155,False,True,False,False
1999-06-10,115.9,,,79.87,97.885,False,True,False,False
1999-06-11,106.3,,,78.12,92.21000000000001,False,True,False,False
1999-06-12,,,,,,False,False,False,False
1999-06-13,,,,,,False,False,False,False
1999-06-14,92.0,,,77.56,84.78,False,True,False,False
1999-06-15,96.5,,,77.69,87.095,False,True,False,False
1999-06-16,111.7,,,81.0,96.35,False,True,False,False
1999-06-17,112.9,,,82.87,97.885,False,True,False,False
1999-06-18,111.3,,,85.0,98.15,False,True,False,False
1999-06-19,,,,,,False,False,False,False
1999-06-20,,,,,,False,False,False,False
1999-06-21,123.5,,,88.94,106.22,False,True,False,False
1999-06-22,117.5,,,86.5,102.0,False,True,False,False
1999-06-23,117.8,,,86.0,101.9,False,True,False,False
1999-06-24,113.6,,,84.62,99.11,False,True,False,False
1999-06-25,110.2,,,84.94,97.57,False,True,False,False
1999-06-26,,,,,,False,False,False,False
1999-06-27,,,,,,False,False,False,False
1999-06-28,110.7,,,86.75,98.725,False,True,False,False
1999-06-29,116.1,,,88.0,102.05,False,True,False,False
1999-06-30,125.1,,,90.19,107.645,False,True,False,False
1999-07-01,122.4,,,91.19,106.795,False,True,False,False
1999-07-02,124.1,,,92.0,108.05,False,True,False,False
1999-07-03,,,,,,False,False,False,False
1999-07-04,,,,,,False,False,False,False
1999-07-05,,,,,,False,False,False,False
1999-07-06,126.9,,,89.56,108.23,False,True,False,False
1999-07-07,121.9,,,92.31,107.105,False,True,False,False
1999-07-08,125.4,,,92.56,108.98,False,True,False,False
1999-07-09,125.5,,,93.25,109.375,False,True,False,False
1999-07-10,,,,,,False,False,False,False
1999-07-11,,,,,,False,False,False,False
1999-07-12,117.4,,,94.19,105.795,False,True,False,False
1999-07-13,126.1,,,93.62,109.86,False,True,False,False
1999-07-14,135.0,,,94.94,114.97,False,True,False,False
1999-07-15,139.6,,,94.37,116.985,False,True,False,False
1999-07-16,137.6,,,99.44,118.52,False,True,False,False
1999-07-17,,,,,,False,False,False,False
1999-07-18,,,,,,False,False,False,False
1999-07-19,131.7,,,98.37,115.035,False,True,False,False
1999-07-20,120.1,,,93.31,106.705,False,True,False,False
1999-07-21,125.4,,,94.69,110.045,False,True,False,False
1999-07-22,106.8,,,91.06,98.93,False,True,False,False
1999-07-23,114.6,,,90.25,102.425,False,True,False,False
1999-07-24,,,,,,False,False,False,False
1999-07-25,,,,,,False,False,False,False
1999-07-26,105.9,,,87.62,96.76,False,True,False,False
1999-07-27,101.0,,,88.81,94.905,False,True,False,False
1999-07-28,105.8,,,90.0,97.9,False,True,False,False
1999-07-29,101.6,,,86.94,94.27,False,True,False,False
1999-07-30,100.1,,,85.81,92.955,False,True,False,False
1999-07-31,,,,,,False,False,False,False
1999-08-01,,,,,,False,False,False,False
1999-08-02,94.0,,,84.81,89.405,False,True,False,False
1999-08-03,94.88,,,84.75,89.815,False,True,False,False
1999-08-04,88.44,,,84.94,86.69,False,True,False,False
1999-08-05,97.25,,,85.75,91.5,False,True,False,False
1999-08-06,89.56,,,85.12,87.34,False,True,False,False
1999-08-07,,,,,,False,False,False,False
1999-08-08,,,,,,False,False,False,False
1999-08-09,85.5,,,83.81,84.655,False,True,False,False
1999-08-10,91.0,,,82.94,86.97,False,True,False,False
1999-08-11,90.94,,,84.19,87.565,False,True,False,False
1999-08-12,91.75,,,81.75,86.75,False,True,False,False
1999-08-13,97.44,,,84.69,91.065,False,True,False,False
1999-08-14,,,,,,False,False,False,False
1999-08-15,,,,,,False,False,False,False
1999-08-16,98.31,,,84.31,91.31,False,True,False,False
1999-08-17,109.3,,,84.56,96.93,False,True,False,False
1999-08-18,113.1,,,85.0,99.05,False,True,False,False
1999-08-19,105.1,,,83.81,94.455,False,True,False,False
1999-08-20,113.3,,,83.37,98.33500000000001,False,True,False,False
1999-08-21,,,,,,False,False,False,False
1999-08-22,,,,,,False,False,False,False
1999-08-23,118.4,,,86.44,102.42,False,True,False,False
1999-08-24,123.1,,,92.19,107.645,False,True,False,False
1999-08-25,132.9,,,95.31,114.105,False,True,False,False
1999-08-26,128.6,,,94.62,111.61,False,True,False,False
1999-08-27,128.5,,,93.25,110.875,False,True,False,False
1999-08-28,,,,,,False,False,False,False
1999-08-29,,,,,,False,False,False,False
1999-08-30,119.3,,,92.25,105.775,False,True,False,False
1999-08-31,124.4,,,92.56,108.48,False,True,False,False
1999-09-01,119.1,,,92.37,105.735,False,True,False,False
1999-09-02,60.06,,,91.81,75.935,True,False,False,False
1999-09-03,62.44,,,95.87,79.155,True,False,False,False
1999-09-04,,,,,,False,False,False,False
1999-09-05,,,,,,False,False,False,False
1999-09-06,,,,,,False,False,False,False
1999-09-07,62.94,,,94.25,78.595,True,False,False,False
1999-09-08,61.44,,,92.25,76.845,True,False,False,False
1999-09-09,63.63,,,94.06,78.845,True,False,False,False
1999-09-10,66.5,,,95.0,80.75,True,False,False,False
1999-09-11,,,,,,False,False,False,False
1999-09-12,,,,,,False,False,False,False
1999-09-13,63.31,,,93.87,78.59,True,False,False,False
1999-09-14,66.0,,,95.06,80.53,True,False,False,False
1999-09-15,65.56,,,92.62,79.09,True,False,False,False
1999-09-16,65.25,,,94.0,79.625,True,False,False,False
1999-09-17,63.81,,,96.44,80.125,True,False,False,False
1999-09-18,,,,,,False,False,False,False
1999-09-19,,,,,,False,False,False,False
1999-09-20,62.75,,,97.56,80.155,True,False,False,False
1999-09-21,62.25,,,94.62,78.435,True,False,False,False
1999-09-22,66.0,,,96.06,81.03,True,False,False,False
1999-09-23,62.25,,,91.19,76.72,True,False,False,False
1999-09-24,65.0,,,90.94,77.97,True,False,False,False
1999-09-25,,,,,,False,False,False,False
1999-09-26,,,,,,False,False,False,False
1999-09-27,62.56,,,91.44,77.0,True,False,False,False
1999-09-28,65.88,,,92.12,79.0,True,False,False,False
1999-09-29,80.75,,,89.5,85.125,True,False,False,False
1999-09-30,79.94,,,90.56,85.25,True,False,False,False
1999-10-01,77.25,,,89.98,83.61500000000001,True,False,False,False
1999-10-02,,,,,,False,False,False,False
1999-10-03,,,,,,False,False,False,False
1999-10-04,77.06,,,92.56,84.81,True,False,False,False
1999-10-05,78.44,,,91.81,85.125,True,False,False,False
1999-10-06,82.44,,,93.69,88.065,True,False,False,False
1999-10-07,87.31,,,93.75,90.53,True,False,False,False
1999-10-08,89.25,,,94.94,92.095,True,False,False,False
1999-10-09,,,,,,False,False,False,False
1999-10-10,,,,,,False,False,False,False
1999-10-11,88.38,,,94.31,91.345,True,False,False,False
1999-10-12,84.94,,,92.56,88.75,True,False,False,False
1999-10-13,79.94,,,91.06,85.5,True,False,False,False
1999-10-14,79.59,,,90.69,85.14,True,False,False,False
1999-10-15,75.06,,,88.06,81.56,True,False,False,False
1999-10-16,,,,,,False,False,False,False
1999-10-17,,,,,,False,False,False,False
1999-10-18,74.06,,,87.87,80.965,True,False,False,False
1999-10-19,76.63,,,86.31,81.47,True,False,False,False
1999-10-20,80.5,,,92.25,86.375,True,False,False,False
1999-10-21,80.75,,,93.06,86.905,True,False,False,False
1999-10-22,78.63,,,92.69,85.66,True,False,False,False
1999-10-23,,,,,,False,False,False,False
1999-10-24,,,,,,False,False,False,False
1999-10-25,82.75,,,92.44,87.595,True,False,False,False
1999-10-26,81.25,,,92.37,86.81,True,False,False,False
1999-10-27,75.94,,,90.87,83.405,True,False,False,False
1999-10-28,71.0,,,89.87,80.435,True,False,False,False
1999-10-29,70.63,,,92.56,81.595,True,False,False,False
1999-10-30,,,,,,False,False,False,False
1999-10-31,,,,,,False,False,False,False
1999-11-01,69.13,,,92.37,80.75,True,False,False,False
1999-11-02,66.44,,,92.56,79.5,True,False,False,False
1999-11-03,65.81,,,92.0,78.905,True,False,False,False
1999-11-04,63.06,,,91.75,77.405,True,False,False,False
1999-11-05,64.94,,,91.56,78.25,True,False,False,False
1999-11-06,,,,,,False,False,False,False
1999-11-07,,,,,,False,False,False,False
1999-11-08,78.0,,,89.94,83.97,True,False,False,False
1999-11-09,70.81,,,88.87,79.84,True,False,False,False
1999-11-10,72.0,,,87.12,79.56,True,False,False,False
1999-11-11,73.0,,,89.62,81.31,True,False,False,False
1999-11-12,74.94,,,89.19,82.065,True,False,False,False
1999-11-13,,,,,,False,False,False,False
1999-11-14,,,,,,False,False,False,False
1999-11-15,73.5,,,87.0,80.25,True,False,False,False
1999-11-16,78.94,,,87.31,83.125,True,False,False,False
1999-11-17,76.5,,,85.0,80.75,True,False,False,False
1999-11-18,77.94,,,84.94,81.44,True,False,False,False
1999-11-19,77.94,,,86.0,81.97,True,False,False,False
1999-11-20,,,,,,False,False,False,False
1999-11-21,,,,,,False,False,False,False
1999-11-22,80.5,,,89.81,85.155,True,False,False,False
1999-11-23,81.75,,,89.62,85.685,True,False,False,False
1999-11-24,87.25,,,91.69,89.47,True,False,False,False
1999-11-25,,,,,,False,False,False,False
1999-11-26,93.13,,,91.12,92.125,False,True,False,False
1999-11-27,,,,,,False,False,False,False
1999-11-28,,,,,,False,False,False,False
1999-11-29,90.44,,,90.19,90.315,False,True,False,False
1999-11-30,85.06,,,91.05,88.055,True,False,False,False
1999-12-01,85.0,,,93.19,89.095,True,False,False,False
1999-12-02,89.06,,,94.81,91.935,True,False,False,False
1999-12-03,86.56,,,96.12,91.34,True,False,False,False
1999-12-04,,,,,,False,False,False,False
1999-12-05,,,,,,False,False,False,False
1999-12-06,87.38,,,95.44,91.41,True,False,False,False
1999-12-07,86.06,,,93.0,89.53,True,False,False,False
1999-12-08,88.0,,,91.75,89.875,True,False,False,False
1999-12-09,103.6,,,92.75,98.175,False,True,False,False
1999-12-10,106.7,,,93.87,100.285,False,True,False,False
1999-12-11,,,,,,False,False,False,False
1999-12-12,,,,,,False,False,False,False
1999-12-13,102.5,,,96.62,99.56,False,True,False,False
1999-12-14,95.63,,,98.69,97.16,True,False,False,False
1999-12-15,96.5,,,108.44,102.47,True,False,False,False
1999-12-16,94.88,,,113.69,104.285,True,False,False,False
1999-12-17,94.06,,,115.25,104.655,True,False,False,False
1999-12-18,,,,,,False,False,False,False
1999-12-19,,,,,,False,False,False,False
1999-12-20,97.0,,,112.75,104.875,True,False,False,False
1999-12-21,99.88,,,115.87,107.875,True,False,False,False
1999-12-22,97.69,,,117.56,107.625,True,False,False,False
1999-12-23,90.0,,,117.44,103.72,True,False,False,False
1999-12-24,,,,,,False,False,False,False
1999-12-25,,,,,,False,False,False,False
1999-12-26,,,,,,False,False,False,False
1999-12-27,81.13,,,119.12,100.125,True,False,False,False
1999-12-28,82.31,,,117.5,99.905,True,False,False,False
1999-12-29,83.5,,,117.94,100.72,True,False,False,False
1999-12-30,79.06,,,117.62,98.34,True,False,False,False
1999-12-31,76.13,,,116.75,96.44,True,False,False,False
2000-01-01,,,,,,False,False,False,False
2000-01-02,,,,,,False,False,False,False
2000-01-03,89.38,,,116.56,102.97,True,False,False,False
2000-01-04,81.94,,,112.62,97.28,True,False,False,False
2000-01-05,71.75,,,113.81,92.78,True,False,False,False
2000-01-06,65.56,,,110.0,87.78,True,False,False,False
2000-01-07,69.56,,,111.44,90.5,True,False,False,False
2000-01-08,,,,,,False,False,False,False
2000-01-09,,,,,,False,False,False,False
2000-01-10,69.19,,,112.25,90.72,True,False,False,False
2000-01-11,66.75,,,109.37,88.06,True,False,False,False
2000-01-12,63.56,,,105.81,84.685,True,False,False,False
2000-01-13,65.94,,,107.81,86.875,True,False,False,False
2000-01-14,64.25,,,112.25,88.25,True,False,False,False
2000-01-15,,,,,,False,False,False,False
2000-01-16,,,,,,False,False,False,False
2000-01-17,,,,,,False,False,False,False
2000-01-18,64.13,,,115.31,89.72,True,False,False,False
2000-01-19,66.81,,,107.0,86.905,True,False,False,False
2000-01-20,64.75,,,106.0,85.375,True,False,False,False
2000-01-21,62.06,,,103.75,82.905,True,False,False,False
2000-01-22,,,,,,False,False,False,False
2000-01-23,,,,,,False,False,False,False
2000-01-24,70.13,,,101.25,85.69,True,False,False,False
2000-01-25,69.25,,,102.81,86.03,True,False,False,False
2000-01-26,64.81,,,99.37,82.09,True,False,False,False
2000-01-27,66.94,,,98.75,82.845,True,False,False,False
2000-01-28,61.69,,,98.25,79.97,True,False,False,False
2000-01-29,,,,,,False,False,False,False
2000-01-30,,,,,,False,False,False,False
2000-01-31,64.56,,,97.87,81.215,True,False,False,False
2000-02-01,67.44,,,102.94,85.19,True,False,False,False
2000-02-02,69.44,,,100.81,85.125,True,False,False,False
2000-02-03,84.19,,,103.62,93.905,True,False,False,False
2000-02-04,78.56,,,106.56,92.56,True,False,False,False
2000-02-05,,,,,,False,False,False,False
2000-02-06,,,,,,False,False,False,False
2000-02-07,75.0,,,106.62,90.81,True,False,False,False
2000-02-08,83.13,,,109.94,96.535,True,False,False,False
2000-02-09,80.25,,,104.0,92.125,True,False,False,False
2000-02-10,76.19,,,106.0,91.095,True,False,False,False
2000-02-11,76.19,,,99.94,88.065,True,False,False,False
2000-02-12,,,,,,False,False,False,False
2000-02-13,,,,,,False,False,False,False
2000-02-14,74.44,,,99.62,87.03,True,False,False,False
2000-02-15,73.81,,,98.56,86.185,True,False,False,False
2000-02-16,70.69,,,97.62,84.155,True,False,False,False
2000-02-17,69.0,,,99.62,84.31,True,False,False,False
2000-02-18,64.75,,,95.06,79.905,True,False,False,False
2000-02-19,,,,,,False,False,False,False
2000-02-20,,,,,,False,False,False,False
2000-02-21,,,,,,False,False,False,False
2000-02-22,63.56,,,93.81,78.685,True,False,False,False
2000-02-23,70.44,,,94.25,82.345,True,False,False,False
2000-02-24,68.44,,,94.75,81.595,True,False,False,False
2000-02-25,69.13,,,91.31,80.22,True,False,False,False
2000-02-26,,,,,,False,False,False,False
2000-02-27,,,,,,False,False,False,False
2000-02-28,65.75,,,91.56,78.655,True,False,False,False
2000-02-29,68.88,,,89.37,79.125,True,False,False,False
2000-03-01,65.88,,,90.81,78.345,True,False,False,False
2000-03-02,62.56,,,93.37,77.965,True,False,False,False
2000-03-03,62.5,,,96.12,79.31,True,False,False,False
2000-03-04,,,,,,False,False,False,False
2000-03-05,,,,,,False,False,False,False
2000-03-06,63.94,,,90.62,77.28,True,False,False,False
2000-03-07,63.5,,,92.87,78.185,True,False,False,False
2000-03-08,63.63,,,95.56,79.595,True,False,False,False
2000-03-09,68.81,,,100.0,84.405,True,False,False,False
2000-03-10,66.88,,,101.0,83.94,True,False,False,False
2000-03-11,,,,,,False,False,False,False
2000-03-12,,,,,,False,False,False,False
2000-03-13,65.31,,,98.0,81.655,True,False,False,False
2000-03-14,65.63,,,95.12,80.375,True,False,False,False
2000-03-15,63.75,,,95.37,79.56,True,False,False,False
2000-03-16,66.25,,,95.37,80.81,True,False,False,False
2000-03-17,64.81,,,99.37,82.09,True,False,False,False
2000-03-18,,,,,,False,False,False,False
2000-03-19,,,,,,False,False,False,False
2000-03-20,64.19,,,97.37,80.78,True,False,False,False
2000-03-21,72.38,,,102.75,87.565,True,False,False,False
2000-03-22,70.69,,,103.25,86.97,True,False,False,False
2000-03-23,67.69,,,111.87,89.78,True,False,False,False
2000-03-24,72.69,,,111.69,92.19,True,False,False,False
2000-03-25,,,,,,False,False,False,False
2000-03-26,,,,,,False,False,False,False
2000-03-27,73.13,,,104.06,88.595,True,False,False,False
2000-03-28,70.13,,,104.31,87.22,True,False,False,False
2000-03-29,66.25,,,107.19,86.72,True,False,False,False
2000-03-30,66.5,,,103.37,84.935,True,False,False,False
2000-03-31,67.0,,,106.25,86.625,True,False,False,False
2000-04-01,,,,,,False,False,False,False
2000-04-02,,,,,,False,False,False,False
2000-04-03,63.56,,,90.87,77.215,True,False,False,False
2000-04-04,63.94,,,88.56,76.25,True,False,False,False
2000-04-05,62.19,,,86.37,74.28,True,False,False,False
2000-04-06,64.25,,,86.0,75.125,True,False,False,False
2000-04-07,67.56,,,89.06,78.31,True,False,False,False
2000-04-08,,,,,,False,False,False,False
2000-04-09,,,,,,False,False,False,False
2000-04-10,63.38,,,86.06,74.72,True,False,False,False
2000-04-11,63.38,,,83.87,73.625,True,False,False,False
2000-04-12,56.38,,,79.37,67.875,True,False,False,False
2000-04-13,48.0,,,79.25,63.625,True,False,False,False
2000-04-14,46.88,,,74.12,60.5,True,False,False,False
2000-04-15,,,,,,False,False,False,False
2000-04-16,,,,,,False,False,False,False
2000-04-17,47.06,,,75.87,61.465,True,False,False,False
2000-04-18,54.94,,,80.56,67.75,True,False,False,False
2000-04-19,53.44,,,78.69,66.065,True,False,False,False
2000-04-20,52.38,,,78.94,65.66,True,False,False,False
2000-04-21,,,,,,False,False,False,False
2000-04-22,,,,,,False,False,False,False
2000-04-23,,,,,,False,False,False,False
2000-04-24,49.81,,,66.62,58.215,True,False,False,False
2000-04-25,52.44,,,69.37,60.905,True,False,False,False
2000-04-26,53.5,,,68.0,60.75,True,False,False,False
2000-04-27,52.88,,,69.81,61.345,True,False,False,False
2000-04-28,55.19,,,69.75,62.47,True,False,False,False
2000-04-29,,,,,,False,False,False,False
2000-04-30,,,,,,False,False,False,False
2000-05-01,59.94,,,73.44,66.69,True,False,False,False
2000-05-02,56.13,,,69.87,63.0,True,False,False,False
2000-05-03,54.13,,,70.56,62.345,True,False,False,False
2000-05-04,55.06,,,70.44,62.75,True,False,False,False
2000-05-05,58.5,,,71.12,64.81,True,False,False,False
2000-05-06,,,,,,False,False,False,False
2000-05-07,,,,,,False,False,False,False
2000-05-08,56.02,,,69.81,62.915000000000006,True,False,False,False
2000-05-09,56.25,,,67.81,62.03,True,False,False,False
2000-05-10,53.31,,,66.19,59.75,True,False,False,False
2000-05-11,54.88,,,67.87,61.375,True,False,False,False
2000-05-12,53.75,,,68.81,61.28,True,False,False,False
2000-05-13,,,,,,False,False,False,False
2000-05-14,,,,,,False,False,False,False
2000-05-15,56.06,,,69.37,62.715,True,False,False,False
2000-05-16,59.06,,,69.5,64.28,True,False,False,False
2000-05-17,61.0,,,67.69,64.345,True,False,False,False
2000-05-18,55.38,,,66.19,60.785,True,False,False,False
2000-05-19,52.63,,,65.06,58.845,True,False,False,False
2000-05-20,,,,,,False,False,False,False
2000-05-21,,,,,,False,False,False,False
2000-05-22,51.88,,,64.19,58.035,True,False,False,False
2000-05-23,46.69,,,63.19,54.94,True,False,False,False
2000-05-24,48.56,,,65.56,57.06,True,False,False,False
2000-05-25,45.5,,,61.5,53.5,True,False,False,False
2000-05-26,46.5,,,61.44,53.97,True,False,False,False
2000-05-27,,,,,,False,False,False,False
2000-05-28,,,,,,False,False,False,False
2000-05-29,,,,,,False,False,False,False
2000-05-30,51.75,,,63.38,57.565,True,False,False,False
2000-05-31,49.94,,,62.56,56.25,True,False,False,False
2000-06-01,50.19,,,64.56,57.375,True,False,False,False
2000-06-02,57.88,,,66.31,62.095,True,False,False,False
2000-06-03,,,,,,False,False,False,False
2000-06-04,,,,,,False,False,False,False
2000-06-05,54.5,,,66.87,60.685,True,False,False,False
2000-06-06,50.56,,,69.62,60.09,True,False,False,False
2000-06-07,51.81,,,70.5,61.155,True,False,False,False
2000-06-08,51.88,,,68.81,60.345,True,False,False,False
2000-06-09,52.19,,,68.81,60.5,True,False,False,False
2000-06-10,,,,,,False,False,False,False
