,amzn,fb,googl,msft,avg,msft_above_daily_avg,amzn_above_daily_avg,googl_above_daily_avg,fb_above_daily_avg
1999-01-01,,,,,,False,False,False,False
1999-01-02,,,,,,False,False,False,False
1999-01-03,,,,,,False,False,False,False
1999-01-04,354.9,,,141.0,247.95,False,True,False,False
1999-01-05,124.6,,,146.5,135.55,True,False,False,False
1999-01-06,138.0,,,151.25,144.625,True,False,False,False
1999-01-07,158.9,,,150.5,154.7,False,True,False,False
1999-01-08,160.3,,,149.88,155.09,False,True,False,False
1999-01-09,,,,,,False,False,False,False
1999-01-10,,,,,,False,False,False,False
1999-01-11,184.6,,,147.5,166.05,False,True,False,False
1999-01-12,163.4,,,142.19,152.79500000000002,False,True,False,False
1999-01-13,148.0,,,143.81,145.905,False,True,False,False
1999-01-14,138.0,,,141.75,139.875,True,False,False,False
1999-01-15,140.4,,,149.75,145.075,True,False,False,False
1999-01-16,,,,,,False,False,False,False
1999-01-17,,,,,,False,False,False,False
1999-01-18,,,,,,False,False,False,False
1999-01-19,139.8,,,155.63,147.715,True,False,False,False
1999-01-20,113.0,,,162.63,137.815,True,False,False,False
1999-01-21,106.0,,,158.31,132.155,True,False,False,False
1999-01-22,123.0,,,156.25,139.625,True,False,False,False
1999-01-23,,,,,,False,False,False,False
1999-01-24,,,,,,False,False,False,False
1999-01-25,112.4,,,161.88,137.14,True,False,False,False
1999-01-26,115.1,,,171.56,143.32999999999998,True,False,False,False
1999-01-27,125.6,,,168.63,147.115,True,False,False,False
1999-01-28,122.9,,,174.0,148.45,True,False,False,False
1999-01-29,116.9,,,175.0,145.95,True,False,False,False
1999-01-30,,,,,,False,False,False,False
1999-01-31,,,,,,False,False,False,False
1999-02-01,115.9,,,172.94,144.42000000000002,True,False,False,False
1999-02-02,110.3,,,167.63,138.965,True,False,False,False
1999-02-03,125.8,,,166.81,146.305,True,False,False,False
1999-02-04,118.0,,,159.06,138.53,True,False,False,False
1999-02-05,115.9,,,160.0,137.95,True,False,False,False
1999-02-06,,,,,,False,False,False,False
1999-02-07,,,,,,False,False,False,False
1999-02-08,109.1,,,165.25,137.175,True,False,False,False
1999-02-09,100.0,,,160.06,130.03,True,False,False,False
1999-02-10,97.44,,,160.63,129.035,True,False,False,False
1999-02-11,109.9,,,162.75,136.325,True,False,False,False
1999-02-12,104.5,,,157.75,131.125,True,False,False,False
1999-02-13,,,,,,False,False,False,False
1999-02-14,,,,,,False,False,False,False
1999-02-15,,,,,,False,False,False,False
1999-02-16,98.63,,,156.25,127.44,True,False,False,False
1999-02-17,93.5,,,150.0,121.75,True,False,False,False
1999-02-18,89.5,,,145.75,117.625,True,False,False,False
1999-02-19,101.9,,,147.75,124.825,True,False,False,False
1999-02-20,,,,,,False,False,False,False
1999-02-21,,,,,,False,False,False,False
1999-02-22,106.5,,,148.81,127.655,True,False,False,False
1999-02-23,115.2,,,155.44,135.32,True,False,False,False
1999-02-24,110.9,,,152.88,131.89,True,False,False,False
1999-02-25,125.0,,,153.5,139.25,True,False,False,False
1999-02-26,128.1,,,150.13,139.115,True,False,False,False
1999-02-27,,,,,,False,False,False,False
1999-02-28,,,,,,False,False,False,False
1999-03-01,133.0,,,151.75,142.375,True,False,False,False
1999-03-02,121.3,,,148.56,134.93,True,False,False,False
1999-03-03,123.5,,,149.63,136.565,True,False,False,False
1999-03-04,120.1,,,152.25,136.175,True,False,False,False
1999-03-05,121.5,,,154.94,138.22,True,False,False,False
1999-03-06,,,,,,False,False,False,False
1999-03-07,,,,,,False,False,False,False
1999-03-08,122.2,,,159.0,140.6,True,False,False,False
1999-03-09,129.9,,,161.81,145.85500000000002,True,False,False,False
1999-03-10,137.1,,,161.38,149.24,True,False,False,False
1999-03-11,134.9,,,161.44,148.17000000000002,True,False,False,False
1999-03-12,133.3,,,160.19,146.745,True,False,False,False
1999-03-13,,,,,,False,False,False,False
1999-03-14,,,,,,False,False,False,False
1999-03-15,138.9,,,165.88,152.39,True,False,False,False
1999-03-16,133.8,,,169.06,151.43,True,False,False,False
1999-03-17,131.0,,,167.13,149.065,True,False,False,False
1999-03-18,138.4,,,172.44,155.42000000000002,True,False,False,False
1999-03-19,135.1,,,171.19,153.14499999999998,True,False,False,False
1999-03-20,,,,,,False,False,False,False
1999-03-21,,,,,,False,False,False,False
1999-03-22,132.0,,,172.81,152.405,True,False,False,False
1999-03-23,119.4,,,166.56,142.98000000000002,True,False,False,False
1999-03-24,123.7,,,171.25,147.475,True,False,False,False
1999-03-25,139.9,,,179.94,159.92000000000002,True,False,False,False
1999-03-26,139.1,,,178.13,158.615,True,False,False,False
1999-03-27,,,,,,False,False,False,False
1999-03-28,,,,,,False,False,False,False
1999-03-29,149.6,,,92.37,120.985,False,True,False,False
1999-03-30,164.7,,,93.0,128.85,False,True,False,False
1999-03-31,172.2,,,89.62,130.91,False,True,False,False
1999-04-01,171.0,,,92.69,131.845,False,True,False,False
1999-04-02,,,,,,False,False,False,False
1999-04-03,,,,,,False,False,False,False
1999-04-04,,,,,,False,False,False,False
1999-04-05,186.5,,,94.94,140.72,False,True,False,False
1999-04-06,182.9,,,94.06,138.48000000000002,False,True,False,False
1999-04-07,175.8,,,93.31,134.555,False,True,False,False
1999-04-08,179.0,,,94.56,136.78,False,True,False,False
1999-04-09,182.9,,,94.25,138.575,False,True,False,False
1999-04-10,,,,,,False,False,False,False
1999-04-11,,,,,,False,False,False,False
1999-04-12,184.4,,,93.0,138.7,False,True,False,False
1999-04-13,178.4,,,90.12,134.26,False,True,False,False
1999-04-14,168.0,,,85.87,126.935,False,True,False,False
1999-04-15,167.3,,,88.87,128.085,False,True,False,False
1999-04-16,190.0,,,86.62,138.31,False,True,False,False
1999-04-17,,,,,,False,False,False,False
1999-04-18,,,,,,False,False,False,False
1999-04-19,158.9,,,81.0,119.95,False,True,False,False
1999-04-20,172.0,,,83.12,127.56,False,True,False,False
1999-04-21,179.3,,,82.0,130.65,False,True,False,False
