,amzn,fb,googl,msft,avg,msft_above_monthly_avg,amzn_above_monthly_avg,googl_above_monthly_avg,fb_above_monthly_avg
1999-01-31,146.62105263157895,,,155.15894736842105,150.89,True,False,False,False
1999-02-28,109.2668421052632,,,157.54684210526318,133.4068421052632,True,False,False,False
1999-03-31,134.5478260869565,,,154.3621739130435,144.45499999999998,True,False,False,False
1999-04-30,182.0761904761905,,,87.7542857142857,134.9152380952381,False,True,False,False
1999-05-31,133.67,,,78.71400000000001,106.19200000000001,False,True,False,False
1999-06-30,111.61363636363635,,,82.40227272727272,97.00795454545454,False,True,False,False
1999-07-31,119.75714285714284,,,92.1090476190476,105.93309523809522,False,True,False,False
1999-08-31,106.13954545454546,,,86.8372727272727,96.48840909090907,False,True,False,False
1999-09-30,67.97238095238096,,,93.4090476190476,80.69071428571428,True,False,False,False
1999-10-31,79.60952380952382,,,91.60476190476187,85.60714285714285,True,False,False,False
1999-11-30,76.24190476190478,,,89.46238095238094,82.85214285714287,True,False,False,False
1999-12-31,91.02863636363637,,,106.18954545454545,98.60909090909091,True,False,False,False
2000-01-31,68.15050000000001,,,107.11399999999999,87.63225,True,False,False,False
2000-02-29,72.46400000000001,,,99.29799999999997,85.881,True,False,False,False
2000-03-31,66.70000000000002,,,99.81260869565216,83.25630434782609,True,False,False,False
2000-04-30,56.376842105263165,,,79.00736842105262,67.69210526315788,True,False,False,False
2000-05-31,53.7690909090909,,,67.07045454545455,60.41977272727273,True,False,False,False
2000-06-30,45.47,,,73.04409090909093,59.25704545454546,True,False,False,False
2000-07-31,36.786,,,75.61800000000001,56.202000000000005,True,False,False,False
2000-08-31,36.11260869565217,,,71.07173913043479,53.59217391304348,True,False,False,False
2000-09-30,41.727,,,65.509,53.617999999999995,True,False,False,False
2000-10-31,30.78818181818182,,,58.603636363636355,44.69590909090908,True,False,False,False
2000-11-30,30.177619047619054,,,68.21095238095238,49.19428571428571,True,False,False,False
2000-12-31,20.892999999999997,,,51.04249999999999,35.967749999999995,True,False,False,False
2001-01-31,17.814285714285713,,,55.780952380952385,36.79761904761905,True,False,False,False
2001-02-28,13.504736842105261,,,59.32684210526316,36.415789473684214,True,False,False,False
2001-03-31,10.909999999999998,,,55.70454545454545,33.307272727272725,True,False,False,False
2001-04-30,13.3165,,,62.36749999999999,37.842,True,False,False,False
2001-05-31,15.811818181818182,,,69.77272727272728,42.79227272727273,True,False,False,False
2001-06-30,14.158571428571427,,,70.61476190476189,42.386666666666656,True,False,False,False
2001-07-31,14.782857142857143,,,68.35761904761904,41.57023809523809,True,False,False,False
2001-08-31,10.419999999999998,,,63.108695652173914,36.764347826086954,True,False,False,False
2001-09-30,7.443333333333333,,,53.27466666666666,30.358999999999998,True,False,False,False
2001-10-31,7.64695652173913,,,57.67695652173915,32.66195652173914,True,False,False,False
2001-11-30,8.784285714285712,,,64.67190476190476,36.728095238095236,True,False,False,False
2001-12-31,11.073,,,67.5175,39.295249999999996,True,False,False,False
2002-01-31,12.07904761904762,,,66.70761904761905,39.39333333333333,True,False,False,False
2002-02-28,13.07157894736842,,,60.000526315789465,36.53605263157894,True,False,False,False
2002-03-31,15.319999999999999,,,61.754,38.537,True,False,False,False
2002-04-30,14.553636363636361,,,55.520454545454534,35.03704545454545,True,False,False,False
2002-05-31,18.105000000000004,,,52.669545454545464,35.38727272727273,True,False,False,False
2002-06-30,17.391,,,53.430499999999995,35.41074999999999,True,False,False,False
2002-07-31,14.780454545454544,,,49.95045454545454,32.36545454545454,True,False,False,False
2002-08-31,14.54772727272727,,,49.16818181818181,31.85795454545454,True,False,False,False
2002-09-30,16.288,,,47.057,31.6725,True,False,False,False
2002-10-31,18.355652173913043,,,49.412608695652175,33.884130434782605,True,False,False,False
2002-11-30,21.35,,,56.2805,38.815250000000006,True,False,False,False
2002-12-31,21.832857142857144,,,54.17952380952381,38.006190476190476,True,False,False,False
2003-01-31,21.48666666666667,,,52.78809523809524,37.13738095238095,True,False,False,False
2003-02-28,21.467894736842105,,,36.30526315789475,28.886578947368427,True,False,False,False
2003-03-31,25.115714285714283,,,24.600476190476197,24.85809523809524,False,True,False,False
2003-04-30,26.24761904761905,,,25.204285714285714,25.725952380952382,False,True,False,False
2003-05-31,32.173095238095236,,,25.300952380952385,28.737023809523812,False,True,False,False
2003-06-30,35.25719047619048,,,25.175238095238093,30.216214285714287,False,True,False,False
2003-07-31,38.83680909090909,,,26.799545454545452,32.81817727272727,False,True,False,False
2003-08-31,42.191904761904766,,,26.038571428571426,34.1152380952381,False,True,False,False
2003-09-30,47.43704761904761,,,28.51047619047619,37.9737619047619,False,True,False,False
2003-10-31,56.06256521739131,,,28.348260869565223,42.205413043478266,False,True,False,False
2003-11-30,52.725263157894744,,,25.7,39.212631578947374,False,True,False,False
2003-12-31,51.291818181818186,,,26.74318181818182,39.017500000000005,False,True,False,False
2004-01-31,53.947,,,27.956,40.9515,False,True,False,False
2004-02-29,45.21731578947369,,,26.861052631578946,36.039184210526315,False,True,False,False
2004-03-31,42.35521739130434,,,25.36,33.857608695652175,False,True,False,False
2004-04-30,46.532857142857154,,,25.910761904761905,36.221809523809526,False,True,False,False
2004-05-31,43.26349999999999,,,25.983999999999998,34.623749999999994,False,True,False,False
