day,open,high,low,close,volumefrom,volumeto
2017-06-01,0.01838,0.019,0.01795,0.0183,103672.11,1920.87
2017-06-02,0.0183,0.01865,0.01779,0.01779,76996.88,1402.99
2017-06-03,0.01779,0.01811,0.01652,0.01652,87425.17,1517.01
2017-06-04,0.01652,0.01652,0.01652,0.01652,0.0,0.0
2017-06-05,0.0171,0.018340000000000002,0.01706,0.01805,130879.31,2319.04
2017-06-06,0.01805,0.0197,0.0169,0.01942,343013.14,6275.19
2017-06-07,0.01942,0.02231,0.01895,0.01961,555160.92,11289.36
2017-06-08,0.01961,0.0207,0.0195,0.019969999999999998,117412.2,2348.3
2017-06-09,0.019969999999999998,0.02022,0.0193,0.01974,83088.04,1648.83
2017-06-10,0.01974,0.0199,0.01815,0.0182,94948.97,1807.02
2017-06-11,0.0182,0.01992,0.0181,0.0199,103094.71,1966.08
2017-06-12,0.0199,0.02023,0.01832,0.019,163697.98,3152.38
2017-06-13,0.019,0.01948,0.01871,0.019219999999999998,96324.42,1842.66
2017-06-14,0.019219999999999998,0.01944,0.0188,0.0189,74528.33,1423.17
2017-06-15,0.0189,0.01924,0.0182,0.01902,103159.84,1935.43
2017-06-16,0.01902,0.0195,0.01886,0.01934,61101.01,1171.16
2017-06-17,0.01934,0.0206,0.01931,0.01999,143112.77,2842.5
2017-06-18,0.01999,0.0205,0.01962,0.01987,79038.19,1590.33
2017-06-19,0.01987,0.02022,0.01917,0.01949,122417.62,2406.83
2017-06-20,0.01949,0.02023,0.0187,0.019,155314.78,3032.36
2017-06-21,0.019,0.01931,0.0178,0.0184,116316.23,2171.76
2017-06-22,0.0184,0.01884,0.01819,0.01864,53345.8,992.61
2017-06-23,0.01864,0.01925,0.01844,0.019030000000000002,64614.69,1218.55
2017-06-24,0.019030000000000002,0.01917,0.0184,0.0186,54510.03,1020.36
2017-06-25,0.0186,0.0187,0.01795,0.018019999999999998,57402.91,1053.69
2017-06-26,0.018019999999999998,0.01884,0.016880000000000003,0.01794,140053.73,2480.75
2017-06-27,0.01794,0.01811,0.01665,0.0172,96637.98,1662.69
2017-06-28,0.0172,0.01852,0.01702,0.01845,78787.82,1399.3
2017-06-29,0.01845,0.01888,0.0177,0.01782,72127.52,1316.4
2017-06-30,0.01782,0.0183,0.01762,0.01786,43132.5,770.96
2017-07-01,0.01786,0.01789,0.01671,0.0171,61166.12,1056.6
2017-07-02,0.0171,0.0174,0.01686,0.0171,56438.52,965.4
2017-07-03,0.0171,0.01744,0.016890000000000002,0.0171,57954.49,992.49
2017-07-04,0.0171,0.017769999999999998,0.01701,0.0175,62971.17,1093.44
2017-07-05,0.0175,0.01845,0.01747,0.01772,115945.05,2075.6
2017-07-06,0.01772,0.01941,0.01762,0.0193,160771.47,3004.62
2017-07-07,0.0193,0.01967,0.01761,0.017769999999999998,152973.35,2844.08
2017-07-08,0.017769999999999998,0.01819,0.01685,0.018080000000000002,83943.61,1465.84
2017-07-09,0.018080000000000002,0.0185,0.01754,0.01795,60947.56,1102.43
2017-07-10,0.01795,0.01804,0.01685,0.017,76218.24,1328.83
2017-07-11,0.017,0.01729,0.0151,0.016,169522.7,2722.59
2017-07-12,0.016,0.01705,0.0157,0.016980000000000002,85544.47,1408.29
2017-07-13,0.016980000000000002,0.0171,0.01596,0.01629,61433.67,1008.29
2017-07-14,0.01629,0.0164,0.0158,0.016030000000000003,34998.77,560.02
2017-07-15,0.016030000000000003,0.0162,0.01576,0.01614,42956.49,687.01
2017-07-16,0.01614,0.0162,0.015130000000000001,0.0153,73967.52,1156.97
2017-07-17,0.0153,0.01612,0.0151,0.01567,86817.83,1370.92
2017-07-18,0.01567,0.0161,0.01518,0.0159,68272.99,1067.55
2017-07-19,0.0159,0.016059999999999998,0.01525,0.01544,57382.67,898.43
2017-07-20,0.01544,0.01584,0.0141,0.01432,128553.65,1924.54
2017-07-21,0.01432,0.01521,0.01431,0.015080000000000001,58886.57,877.18
2017-07-22,0.015080000000000001,0.01593,0.014519999999999998,0.015780000000000002,63453.65,962.31
2017-07-23,0.015780000000000002,0.01585,0.01535,0.01549,43347.41,675.27
2017-07-24,0.01549,0.016659999999999998,0.015369999999999998,0.01651,81165.9,1303.86
2017-07-25,0.01651,0.01662,0.015,0.0159,83195.45,1315.26
2017-07-26,0.0159,0.0198,0.0157,0.01825,232895.34,4154.24
2017-07-27,0.01825,0.0183,0.01685,0.01709,121290.22,2126.6
2017-07-28,0.01709,0.01709,0.01517,0.01577,154459.58,2482.34
2017-07-29,0.01577,0.01633,0.01547,0.01614,39145.93,623.89
2017-07-30,0.01614,0.01624,0.0143,0.01445,92396.56,1404.46
2017-07-31,0.01445,0.015040000000000001,0.013619999999999998,0.0139,94903.11,1354.32
2017-08-01,0.0139,0.0165,0.0139,0.01624,146346.85,2256.03
2017-08-02,0.01624,0.01636,0.01568,0.01619,47118.3,757.37
2017-08-03,0.01619,0.01624,0.015430000000000001,0.01554,33580.28,533.41
2017-08-04,0.01554,0.01584,0.015009999999999999,0.01576,50554.54,780.51
2017-08-05,0.01576,0.01595,0.0148,0.01488,52187.56,793.91
2017-08-06,0.01488,0.01522,0.0145,0.014819999999999998,30265.06,449.11
2017-08-07,0.014819999999999998,0.01489,0.0138,0.01487,59739.87,859.35
2017-08-08,0.01487,0.0155,0.01441,0.0152,63746.51,961.08
2017-08-09,0.0152,0.01574,0.015,0.01524,52609.41,808.98
2017-08-10,0.01524,0.01535,0.01434,0.01441,59485.21,881.64
2017-08-11,0.01441,0.01456,0.0138,0.013890000000000001,49441.21,700.73
2017-08-12,0.013890000000000001,0.014230000000000001,0.012,0.012709999999999999,154664.49,1989.78
2017-08-13,0.012709999999999999,0.012830000000000001,0.011000000000000001,0.011729999999999999,170682.56,2017.36
2017-08-14,0.011729999999999999,0.01227,0.01056,0.01152,92351.94,1057.76
2017-08-15,0.01152,0.012,0.011000000000000001,0.01172,93681.36,1086.64
2017-08-16,0.01172,0.0121,0.011000000000000001,0.01114,71596.66,818.46
2017-08-17,0.01114,0.01135,0.0109,0.01102,56636.45,629.78
2017-08-18,0.01102,0.0122,0.01093,0.01133,118350.46,1353.5
2017-08-19,0.01133,0.01411,0.01132,0.013380000000000001,174149.32,2260.06
2017-08-20,0.013380000000000001,0.013730000000000001,0.0126,0.01342,78381.97,1039.7
2017-08-21,0.01342,0.024480000000000002,0.0132,0.01945,1360611.23,26556.51
2017-08-22,0.01945,0.0251,0.0185,0.0222,711716.56,15716.18
2017-08-23,0.0222,0.0244,0.0205,0.021759999999999998,316943.13,7092.88
2017-08-24,0.021759999999999998,0.022609999999999998,0.0185,0.01986,284057.89,5758.04
2017-08-25,0.01986,0.0251,0.019180000000000003,0.0247,319088.24,7169.69
2017-08-26,0.0247,0.0348,0.02384,0.03175,1003597.0,30010.59
2017-08-27,0.03175,0.032010000000000004,0.0286,0.030080000000000003,271197.55,8213.66
2017-08-28,0.030080000000000003,0.03558,0.029710000000000004,0.03273,619602.95,20119.54
2017-08-29,0.03273,0.0331,0.027780000000000003,0.02893,320888.75,9649.39
2017-08-30,0.02893,0.03005,0.02658,0.02918,175387.95,4935.74
2017-08-31,0.02918,0.031,0.028669999999999998,0.0298,180919.56,5424.12
2017-09-01,0.0298,0.03151,0.02872,0.029060000000000002,187886.83,5619.04
2017-09-02,0.029060000000000002,0.029110000000000004,0.026910000000000003,0.0272,211453.75,5875.37
2017-09-03,0.0272,0.02779,0.025,0.027460000000000002,157555.06,4202.35
2017-09-04,0.027460000000000002,0.02769,0.0242,0.025,173879.45,4456.4
2017-09-05,0.025,0.02775,0.023719999999999998,0.027089999999999996,140433.99,3644.75
2017-09-06,0.027089999999999996,0.02721,0.0257,0.026619999999999998,70167.39,1864.24
2017-09-07,0.026619999999999998,0.026810000000000004,0.0257,0.02636,47428.75,1241.83
2017-09-08,0.02636,0.029019999999999997,0.026010000000000002,0.027280000000000002,163665.13,4493.34
2017-09-09,0.027280000000000002,0.0276,0.026510000000000002,0.026739999999999996,41594.52,1121.23
2017-09-10,0.026739999999999996,0.02717,0.0257,0.02663,51343.48,1354.28
2017-09-11,0.02663,0.02696,0.026310000000000004,0.0267,24335.27,648.23
2017-09-12,0.0267,0.02725,0.026000000000000002,0.0268,41368.59,1102.95
2017-09-13,0.0268,0.02875,0.0256,0.02855,172360.81,4749.81
2017-09-14,0.02855,0.03094,0.02655,0.02655,270482.88,7670.99
2017-09-15,0.02655,0.027610000000000003,0.0245,0.027030000000000002,144378.09,3824.7
