day,open,high,low,close,volumefrom,volumeto
2017-06-01,8.677e-05,9.999e-05,8.677e-05,9.464e-05,45711688.82,4248.31
2017-06-02,9.464e-05,9.489e-05,8.995e-05,9.05e-05,29827818.99,2756.22
2017-06-03,9.05e-05,9.499e-05,7.957e-05,8.392e-05,35106240.87,3074.43
2017-06-04,8.392e-05,8.392e-05,8.392e-05,8.392e-05,0.0,0.0
2017-06-05,8.484e-05,9.499e-05,8.124e-05,8.734e-05,51874384.01,4610.2
2017-06-06,8.734e-05,8.768e-05,7.614e-05,8.14e-05,34352147.6,2789.15
2017-06-07,8.14e-05,8.213e-05,7.583e-05,7.775e-05,36433901.82,2901.1
2017-06-08,7.775e-05,7.99e-05,7.566e-05,7.716e-05,26677263.46,2075.21
2017-06-09,7.716e-05,8.021e-05,7.569e-05,7.657e-05,27871329.64,2161.82
2017-06-10,7.657e-05,7.717e-05,6.633e-05,6.676e-05,47394727.53,3377.01
2017-06-11,6.676e-05,7.900000000000001e-05,6.543e-05,7.194e-05,39109998.86,2857.96
2017-06-12,7.194e-05,8.199e-05,7.171e-05,7.479e-05,51562376.14,3935.87
2017-06-13,7.479e-05,7.734e-05,7.170000000000001e-05,7.609e-05,27586205.59,2070.32
2017-06-14,7.609e-05,8.433e-05,7.6e-05,8.05e-05,53458025.89,4300.15
2017-06-15,8.05e-05,8.137e-05,7.3e-05,7.863e-05,31101714.63,2390.83
2017-06-16,7.863e-05,7.992e-05,7.565e-05,7.636e-05,15308436.98,1190.68
2017-06-17,7.636e-05,8.091e-05,7.479e-05,7.63e-05,27232681.23,2114.12
2017-06-18,7.63e-05,7.934e-05,7.507e-05,7.705e-05,19138844.43,1472.73
2017-06-19,7.705e-05,8e-05,7.57e-05,7.670000000000001e-05,22954742.94,1775.04
2017-06-20,7.670000000000001e-05,8.4e-05,7.144e-05,7.746e-05,52314554.55,4094.2
2017-06-21,7.746e-05,7.837e-05,7.2e-05,7.326e-05,16051078.6,1196.18
2017-06-22,7.326e-05,7.384e-05,7.001e-05,7.138e-05,13941012.69,1003.47
2017-06-23,7.138e-05,7.23e-05,7.019e-05,7.218e-05,13248660.1,943.81
2017-06-24,7.218e-05,7.394e-05,6.901e-05,7.067e-05,18862722.36,1337.04
2017-06-25,7.067e-05,7.138e-05,6.4e-05,6.853e-05,22040558.82,1507.07
2017-06-26,6.853e-05,7e-05,6.001e-05,6.555e-05,27786003.89,1785.65
