day,open,high,low,close,volumefrom,volumeto
2017-06-01,217.5,227.22,200.0,211.44,88571.3,18973852.53
2017-06-02,211.44,219.9,208.09,215.4,34989.78,7474587.08
2017-06-03,215.4,218.71,210.25,217.22,22759.07,4870912.19
2017-06-04,217.22,217.22,217.22,217.22,0.0,0.0
2017-06-05,241.25,245.0,232.0,242.1,30620.03,7344877.95
2017-06-06,242.1,265.61,235.75,262.0,71706.33,18086843.05
2017-06-07,262.0,263.64,240.0,250.5,41489.01,10558982.0
2017-06-08,250.5,258.99,243.0,257.43,30856.38,7779986.05
2017-06-09,257.43,280.12,257.43,278.85,36138.28,9718691.76
2017-06-10,278.85,343.0,278.6,326.0,68684.99,20963450.63
2017-06-11,326.0,347.0,308.31,335.0,59140.77,19679190.8
2017-06-12,335.0,408.13,299.71,386.5,180322.87,63723536.66
2017-06-13,386.5,395.71,341.78,382.3,80644.04,30206468.62
2017-06-14,382.3,388.0,312.6,335.03,82089.11,28561139.37
2017-06-15,335.03,344.71,258.3,339.0,252488.7,76563951.11
2017-06-16,339.0,355.0,306.0,348.56,77485.95,26124016.12
2017-06-17,348.56,364.6,333.02,364.6,39313.94,13766257.01
2017-06-18,364.6,376.89,335.9,349.0,52202.18,18587001.38
2017-06-19,349.0,360.0,346.08,357.0,28422.86,10076489.9
2017-06-20,357.0,367.06,321.05,347.8,42535.04,14922889.8
2017-06-21,347.8,357.0,290.0,322.5,78083.31,25061348.59
2017-06-22,322.5,331.0,305.49,321.1,35976.78,11486853.28
2017-06-23,321.1,330.6,318.61,323.61,14496.31,4718112.05
2017-06-24,323.61,328.26,290.0,295.99,44648.32,13634632.81
2017-06-25,295.99,307.0,252.2,275.25,85523.07,23680407.09
2017-06-26,275.25,287.0,206.24,251.5,227012.29,54774424.69
2017-06-27,251.5,280.5,204.0,280.0,191778.11,46040641.05
2017-06-28,280.0,318.4,255.2,312.0,146540.91,41960077.75
2017-06-29,312.0,318.5,275.0,285.84,113488.13,33572633.9
2017-06-30,285.84,302.0,266.5,276.0,82713.05,23546603.08
2017-07-01,276.0,279.46,241.0,254.5,100432.28,25947432.45
2017-07-02,254.5,286.0,242.3,277.48,103379.22,27105483.03
2017-07-03,277.48,284.8,266.65,275.0,61886.81,17085645.8
2017-07-04,275.0,283.7,261.04,266.7,51588.69,14132763.9
2017-07-05,266.7,271.77,250.67,265.11,52897.4,13738787.62
2017-07-06,265.11,273.06,260.0,264.87,27715.18,7364160.72
2017-07-07,264.87,266.0,232.81,237.89,54525.14,13442586.06
2017-07-08,237.89,247.22,227.54,245.6,43803.27,10410783.39
2017-07-09,245.6,249.0,233.8,234.7,26526.55,6411895.43
2017-07-10,234.7,237.96,187.0,201.45,123455.37,26200427.85
2017-07-11,201.45,215.0,170.0,188.39,221831.98,42391723.51
2017-07-12,188.39,225.66,178.12,223.5,156640.07,31998932.69
2017-07-13,223.5,225.47,190.21,204.7,110073.25,22703503.78
2017-07-14,204.7,207.5,180.21,196.51,102705.85,19748767.84
2017-07-15,196.51,198.2,170.0,170.01,114650.47,20776737.92
2017-07-16,170.01,173.0,138.17,156.5,323332.12,49578915.47
2017-07-17,156.5,190.34,155.07,189.6,309799.39,53583078.9
2017-07-18,189.6,265.3,177.78,226.0,427242.61,91451150.78
2017-07-19,226.0,245.31,184.92,194.18,388137.51,83677520.77
2017-07-20,194.18,238.27,194.0,227.43,338394.21,74471250.04
2017-07-21,227.43,240.0,210.0,216.57,148999.6,33511932.59
2017-07-22,216.57,237.19,215.36,232.5,91013.87,20682139.43
2017-07-23,232.5,236.5,218.08,227.63,75551.85,17200608.22
2017-07-24,227.63,231.4,224.0,226.8,38927.42,8843619.72
2017-07-25,226.8,227.42,190.0,203.0,191005.33,39396645.25
2017-07-26,203.0,209.5,192.0,203.01,94023.85,18770344.69
2017-07-27,203.01,206.0,198.23,202.8,50840.21,10273709.9
2017-07-28,202.8,204.5,188.0,191.0,66687.88,13036051.65
2017-07-29,191.0,210.5,176.52,207.4,92615.97,17643057.36
2017-07-30,207.4,210.71,192.93,194.73,60997.85,12173853.11
2017-07-31,194.73,201.5,189.6,200.49,46473.53,9088290.54
2017-08-01,200.49,233.21,200.49,226.1,199096.38,43331530.89
2017-08-02,226.1,230.0,215.1,217.5,52812.58,11707908.26
2017-08-03,217.5,228.75,217.11,224.6,32844.62,7368023.26
2017-08-04,224.6,228.0,219.45,221.0,32848.53,7349626.02
2017-08-05,221.0,263.9,219.99,254.09,123329.33,29734083.66
2017-08-06,254.09,273.0,249.89,264.51,104369.81,27287624.69
2017-08-07,264.51,274.83,257.6,269.54,65495.58,17479039.11
2017-08-08,269.54,299.33,266.5,296.43,77724.55,22051277.32
2017-08-09,296.43,316.51,278.08,293.7,145316.71,43184683.55
2017-08-10,293.7,309.99,288.06,298.0,51013.91,15370340.08
2017-08-11,298.0,310.0,295.4,308.52,39245.27,11840693.8
2017-08-12,308.52,319.0,302.11,307.71,63142.21,19721765.45
2017-08-13,307.71,308.52,285.6,295.8,73685.04,21703070.9
2017-08-14,295.8,307.0,294.16,298.06,32754.86,9832458.1
2017-08-15,298.06,299.48,267.0,285.47,52276.68,14835276.59
2017-08-16,285.47,304.53,280.0,302.1,37388.56,11064175.93
2017-08-17,302.1,311.49,297.5,300.01,42032.41,12784132.13
2017-08-18,300.01,306.85,282.0,291.9,43578.5,12903084.27
2017-08-19,291.9,299.0,276.87,291.21,44221.66,12788293.26
2017-08-20,291.21,299.68,287.1,297.5,20300.95,5967677.57
2017-08-21,297.5,347.6,295.1,321.0,106517.75,34496199.42
2017-08-22,321.0,330.5,290.0,310.23,85009.59,26203174.6
2017-08-23,310.23,324.85,310.1,316.5,33279.55,10590047.56
2017-08-24,316.5,329.0,314.2,325.02,23718.81,7640749.02
2017-08-25,325.02,337.66,324.19,328.0,30684.37,10151679.45
2017-08-26,328.0,335.0,324.94,332.5,17565.29,5779921.8
2017-08-27,332.5,347.26,326.0,347.26,26771.15,9029503.78
2017-08-28,347.26,350.0,333.1,347.31,39818.72,13623027.76
2017-08-29,347.31,376.66,346.2,372.61,45877.35,16646554.17
2017-08-30,372.61,389.87,365.0,383.59,49321.23,18623721.37
2017-08-31,383.59,389.9,379.0,387.69,19825.72,7621885.2
2017-09-01,387.69,394.35,384.0,389.49,42474.73,16537536.96
2017-09-02,389.49,390.84,321.08,344.85,103412.21,36396992.79
2017-09-03,344.85,371.0,329.09,350.67,63389.95,22196409.96
2017-09-04,350.67,351.63,271.46,296.51,175968.12,52773059.0
2017-09-05,296.51,323.0,267.0,316.0,111430.94,32986730.58
2017-09-06,316.0,340.1,313.83,336.65,61690.1,20264594.88
2017-09-07,336.65,338.65,318.1,335.0,31643.68,10433950.11
2017-09-08,335.0,335.4,277.0,305.19,94016.86,28476809.53
2017-09-09,305.19,306.82,291.01,302.9,31883.03,9570257.28
2017-09-10,302.9,304.78,276.0,298.24,44500.24,12907348.0
2017-09-11,298.24,307.95,288.01,297.75,34100.17,10110543.27
2017-09-12,297.75,317.0,284.86,294.41,52667.19,15885383.52
2017-09-13,294.41,294.41,256.8,276.5,90042.69,24523829.97
2017-09-14,276.5,280.61,221.0,222.5,122983.14,29890533.25
2017-09-15,222.5,265.0,199.0,258.44,197320.06,46343890.82
2017-09-16,258.44,272.27,242.0,253.74,83824.74,21482139.86
2017-09-17,253.74,264.02,239.0,257.6,33743.12,8528721.68
2017-09-18,257.6,299.59,256.61,296.92,94488.96,27009482.97
2017-09-19,296.92,299.0,275.1,283.01,49740.63,14204219.21
2017-09-20,283.01,294.81,275.75,284.26,30652.3,8741036.39
2017-09-21,284.26,287.79,251.0,257.0,47433.42,12827431.64
2017-09-22,257.0,270.63,253.02,262.07,31981.25,8322131.79
2017-09-23,262.07,287.0,258.52,286.13,27420.52,7606832.67
2017-09-24,286.13,294.8,274.13,283.17,29771.82,8477478.08
2017-09-25,283.17,297.5,281.9,295.0,29111.42,8505301.86
2017-09-26,295.0,297.0,285.67,288.85,18145.74,5295268.71
2017-09-27,288.85,313.13,287.8,310.75,34839.49,10456661.31
2017-09-28,310.75,311.0,298.0,303.2,33674.89,10245951.04
2017-09-29,303.2,303.88,278.01,293.1,40314.55,11677492.23
2017-09-30,293.1,307.6,292.17,303.0,15371.25,4648895.69
2017-10-01,303.0,305.9,295.2,304.6,11660.02,3502019.49
