day,open,high,low,close,volumefrom,volumeto
2017-06-01,2197.0,2368.56,2171.09,2314.6,17859.81,40901346.89
2017-06-02,2314.6,2413.92,2267.93,2408.0,9622.23,22344252.44
2017-06-03,2408.0,2482.25,2344.27,2472.0,9589.28,23197482.69
2017-06-04,2472.0,2472.0,2472.0,2472.0,0.0,0.0
2017-06-05,2387.44,2635.36,2387.44,2635.36,5718.07,14716334.4
2017-06-06,2635.36,2895.0,2580.0,2846.0,29618.78,81841332.62
2017-06-07,2846.0,2862.55,2564.0,2645.5,17884.16,49036740.39
2017-06-08,2645.5,2797.15,2558.9,2788.0,12590.13,34005653.63
2017-06-09,2788.0,2851.0,2769.12,2816.1,8969.63,25232742.89
2017-06-10,2816.1,2906.16,2760.0,2811.82,10804.82,30598712.94
2017-06-11,2811.82,2977.0,2784.0,2937.1,10707.45,30795181.47
2017-06-12,2937.1,2965.0,2300.0,2571.05,34010.44,88654813.92
2017-06-13,2571.05,2750.0,2513.58,2676.77,16021.81,42235377.41
2017-06-14,2676.77,2729.21,2273.1,2386.78,25253.66,63153207.55
2017-06-15,2386.78,2459.86,2012.0,2374.47,46714.46,104627149.52
2017-06-16,2374.47,2477.49,2240.0,2435.0,18212.92,43415220.52
2017-06-17,2435.0,2640.0,2369.61,2607.15,14585.45,36781595.96
2017-06-18,2607.15,2640.45,2408.0,2492.3,18367.23,46377858.6
2017-06-19,2492.3,2596.34,2481.5,2583.05,11118.68,28286368.69
2017-06-20,2583.05,2785.53,2563.73,2668.0,13852.4,36889671.01
2017-06-21,2668.0,2775.82,2541.21,2620.0,16424.99,43762095.61
2017-06-22,2620.0,2704.94,2544.0,2673.38,8452.46,22277786.05
2017-06-23,2673.38,2720.0,2650.0,2670.0,4860.02,13072389.97
2017-06-24,2670.0,2688.0,2450.92,2503.48,13302.7,34080020.35
2017-06-25,2503.48,2602.09,2359.1,2481.81,16719.51,41534503.71
2017-06-26,2481.81,2508.93,2192.0,2395.29,31294.3,73748233.27
2017-06-27,2395.29,2516.0,2168.33,2510.0,26613.46,62398675.78
2017-06-28,2510.0,2560.79,2390.38,2513.0,16013.34,39654341.56
2017-06-29,2513.0,2539.58,2398.96,2468.47,12772.26,31693607.84
2017-06-30,2468.47,2510.0,2402.11,2423.66,9116.03,22458752.57
2017-07-01,2423.66,2442.0,2284.0,2346.54,11549.62,27301392.57
2017-07-02,2346.54,2465.0,2295.41,2435.14,10271.43,24400111.49
2017-07-03,2435.14,2591.9,2417.55,2536.46,12873.78,32331433.21
2017-07-04,2536.46,2631.31,2516.0,2580.0,11321.53,29261843.86
2017-07-05,2580.0,2619.9,2480.61,2599.0,7600.14,19355351.26
2017-07-06,2599.0,2605.44,2546.39,2589.95,5419.25,13976337.9
2017-07-07,2589.95,2599.81,2423.0,2477.0,12096.85,30304795.26
2017-07-08,2477.0,2549.27,2420.0,2549.27,8889.18,22052624.7
2017-07-09,2549.27,2559.0,2470.0,2473.11,5753.02,14490933.96
2017-07-10,2473.11,2499.6,2244.0,2316.0,19258.08,45803086.46
2017-07-11,2316.0,2375.43,2183.0,2284.0,25022.72,57352719.97
2017-07-12,2284.0,2398.45,2195.0,2375.92,17316.39,40068517.38
2017-07-13,2375.92,2400.0,2284.01,2327.27,14040.28,32841179.18
2017-07-14,2327.27,2350.0,2134.0,2205.91,14902.25,33286604.37
2017-07-15,2205.91,2213.87,1972.0,1977.5,28810.38,59248961.57
2017-07-16,1977.5,2054.0,1835.0,1925.9,34420.16,66318154.33
2017-07-17,1925.9,2224.84,1922.19,2223.4,28671.21,59353472.71
2017-07-18,2223.4,2390.0,2117.27,2300.0,32528.6,74133948.1
2017-07-19,2300.0,2409.9,2210.0,2250.0,23083.35,53107895.81
2017-07-20,2250.0,2926.0,2246.92,2855.0,44601.81,115852892.29
2017-07-21,2855.0,2864.0,2600.5,2666.7,27395.05,74776136.2
2017-07-22,2666.7,2909.51,2646.5,2847.0,20715.48,58225496.88
2017-07-23,2847.0,2880.15,2655.0,2751.43,16406.13,45411700.88
2017-07-24,2751.43,2815.52,2705.01,2769.36,11919.33,32919845.76
2017-07-25,2769.36,2800.0,2417.33,2566.0,39694.28,102565822.18
2017-07-26,2566.0,2619.96,2400.0,2526.35,20860.33,52047658.98
2017-07-27,2526.35,2695.65,2506.44,2670.0,14043.32,36302164.06
2017-07-28,2670.0,2844.23,2660.0,2789.98,19628.74,54032954.22
2017-07-29,2789.98,2794.9,2659.0,2719.0,9528.85,25876282.86
2017-07-30,2719.0,2753.49,2619.98,2753.0,8422.86,22674418.04
2017-07-31,2753.0,2883.0,2692.17,2855.0,10513.51,29334801.1
2017-08-01,2855.0,2927.0,2640.0,2736.48,18794.48,52029653.0
2017-08-02,2736.48,2760.47,2667.66,2699.0,8722.36,23691344.91
2017-08-03,2699.0,2808.77,2698.0,2794.89,5567.26,15332766.45
2017-08-04,2794.89,2879.9,2762.0,2863.01,6119.87,17333817.79
2017-08-05,2863.01,3333.0,2852.82,3256.54,19380.72,61129461.9
2017-08-06,3256.54,3309.0,3143.0,3229.0,8882.3,28780472.78
2017-08-07,3229.0,3436.2,3191.0,3399.0,8956.47,29884232.99
2017-08-08,3399.0,3480.0,3350.0,3411.0,11174.52,38198283.2
2017-08-09,3411.0,3429.42,3229.19,3334.34,10160.47,33826010.49
2017-08-10,3334.34,3445.0,3306.2,3415.87,6231.14,21166866.95
2017-08-11,3415.87,3674.9,3400.88,3641.34,7372.55,25984026.86
2017-08-12,3641.34,3952.0,3591.57,3863.5,12050.75,45564892.62
2017-08-13,3863.5,4254.88,3833.0,4051.7,19546.28,78782141.79
2017-08-14,4051.7,4327.62,3965.0,4310.93,10475.89,43879387.53
2017-08-15,4310.93,4426.0,3761.7,4149.0,19584.06,80161114.43
2017-08-16,4149.0,4395.55,3926.0,4381.0,9677.4,40413326.4
2017-08-17,4381.0,4489.21,4180.0,4262.0,10905.98,47360522.8
2017-08-18,4262.0,4354.0,3960.0,4090.0,12825.04,53438777.49
2017-08-19,4090.0,4187.89,3910.0,4137.62,14890.89,60340648.12
2017-08-20,4137.62,4185.5,4035.33,4074.85,6591.76,27089039.22
2017-08-21,4074.85,4100.68,3950.0,3994.0,9696.73,39052141.83
2017-08-22,3994.0,4095.0,3601.0,4064.52,15968.38,61974958.62
2017-08-23,4064.52,4249.0,4020.0,4136.0,10280.5,42599218.11
2017-08-24,4136.0,4365.0,4105.0,4321.0,7428.47,31306976.85
2017-08-25,4321.0,4455.12,4261.19,4352.0,6991.48,30452356.97
2017-08-26,4352.0,4375.0,4248.61,4354.95,5566.22,23961885.55
