day,close,high,low,open,volumefrom,volumeto
2017-06-01,131.376696,151.6825824,121.5376182,131.62227000000001,1736293579.7952,240706880528.4634
2017-06-02,141.78304,147.490512,128.7277068,131.376696,486113327.5986,66263668151.015205
2017-06-03,140.18712000000002,151.56618500000002,130.3179693,141.78304,397377557.6656,56285676074.5353
2017-06-04,140.18712000000002,140.18712000000002,140.18712000000002,140.18712000000002,0.0,0.0
2017-06-05,140.99176,152.85088,127.72804000000001,136.89580959999998,199698276.94489998,28487144314.8
2017-06-06,145.34521999999998,156.0405,106.4766,140.99176,3354747421.6759996,464739280935.97485
2017-06-07,136.216795,157.44025000000002,129.71276,145.34521999999998,733485379.0208,105789411880.3665
2017-06-08,144.61356,149.088095,131.32274800000002,136.216795,283239776.9061,39973305785.5287
2017-06-09,149.45042700000002,153.09869999999998,142.194312,144.61356,240838870.92239997,35455031689.5968
2017-06-10,147.92985020000003,164.19804,140.3184,149.45042700000002,478154127.21959996,70916495071.1322
2017-06-11,185.62472000000002,206.75265,146.16,147.92985020000003,2837101202.442,511784812898.11536
2017-06-12,165.832725,198.655,142.209,185.62472000000002,3653741909.3044,611605624434.3215
2017-06-13,180.68197500000002,187.0,161.17074960000002,165.832725,832072514.8693999,144831022091.7274
2017-06-14,155.4032458,192.409305,145.25108999999998,180.68197500000002,1786683818.17,297686537492.586
2017-06-15,157.189914,163.21171100000004,126.93707999999998,155.4032458,1693399175.0,246865666749.4496
2017-06-16,159.4925,164.57966069999995,145.55519999999999,157.189914,417247980.094,65486216175.7524
2017-06-17,178.14655950000002,187.5984,154.02465,159.4925,674588001.5875,115265797603.4884
2017-06-18,188.66711,200.67419999999998,162.54000000000002,178.14655950000002,1359312039.5358,246974619066.82202
2017-06-19,196.3118,208.51206540000004,183.87915,188.66711,1091751083.4628,214071521109.6069
2017-06-20,185.42600000000002,213.09304500000002,159.46400599999998,196.3118,1062733133.0159999,202737147246.62772
2017-06-21,178.16000000000003,199.27611779999998,155.6745246,185.42600000000002,715216991.5556002,129619388608.21509
2017-06-22,179.7046036,190.8064676,169.37952,178.16000000000003,140163678.67139998,25217562697.158
2017-06-23,185.56500000000003,193.11999999999998,173.045,179.7046036,84437161.27660002,15677848014.9207
2017-06-24,173.7665468,187.05792,166.09884840000004,185.56500000000003,165384620.507,29092750171.981
2017-06-25,166.10754329999997,181.10546399999998,153.97845700000002,173.7665468,298874951.24819994,50070259567.4421
2017-06-26,161.0353467,170.60724,132.68176,166.10754329999997,1331732065.9299998,200670417692.3354
2017-06-27,173.8928,175.46584,139.7705518,161.0353467,1130904385.202,177724532343.35382
2017-06-28,178.42299999999997,188.19245709999998,164.4342402,173.8928,671070719.1132001,119124417850.14922
2017-06-29,172.7929,182.84976,165.02445840000001,178.42299999999997,278260926.65099996,48644617057.1456
2017-06-30,173.776422,182.3013,167.47510920000002,172.7929,219959411.6258,38799965527.457695
2017-07-01,159.18927359999998,178.266,154.17000000000002,173.776422,254392276.6086,42379678672.4853
2017-07-02,168.04901139999998,175.015,153.4481585,159.18927359999998,197710750.2123,32495824481.267097
2017-07-03,178.2370442,183.998981,166.3516155,168.04901139999998,198203944.4532,34827419853.812004
2017-07-04,181.3224,189.3227545,175.6168,178.2370442,212051351.1776,38859143409.2028
2017-07-05,209.42741999999998,215.041392,173.1713841,181.3224,630059814.1512,123572111030.83142
2017-07-06,209.47515599999997,227.976,198.87305899999998,209.42741999999998,660192598.4925,140755838754.279
2017-07-07,190.95192999999998,212.7424523,179.52007,209.47515599999997,638769688.4155,124463612420.53561
2017-07-08,209.29506700000002,213.373899,181.5,190.95192999999998,398123793.6828,78350549770.383
2017-07-09,194.21332829999997,212.90879999999999,193.4504,209.29506700000002,136771434.527,27562191119.9388
2017-07-10,171.15239999999997,200.21796,159.86256,194.21332829999997,742439425.968,134733901099.87141
2017-07-11,162.30104,180.6039429,131.35111,171.15239999999997,1532591554.5600002,244557159696.8773
2017-07-12,178.33655520000002,182.8818125,150.577,162.30104,460322634.3534,78564746138.0088
2017-07-13,168.7038023,182.76,161.54802730000003,178.33655520000002,252054897.4356,43146412794.8922
2017-07-14,160.78877989999998,171.54999999999998,150.59638,168.7038023,191663649.1275,30793437702.687
2017-07-15,138.425,163.60499299999998,137.54700000000003,160.78877989999998,829117792.2072,121873928970.2586
2017-07-16,132.155258,144.23188000000002,116.52250000000001,138.425,984496086.5696001,128549783990.18541
2017-07-17,153.03662200000002,160.3887156,131.285577,132.155258,565049626.2710999,81606276698.43321
2017-07-18,156.35399999999998,168.35160000000002,140.0574105,153.03662200000002,837008369.7559999,130194039653.21999
2017-07-19,153.38250000000002,173.87428500000001,149.175,156.35399999999998,543610353.3314999,87966856461.7678
2017-07-20,191.88455000000002,239.93199999999996,143.80288000000002,153.38250000000002,4151269309.9580994,804543886094.6737
2017-07-21,186.10899299999997,210.21760000000003,172.6732,191.88455000000002,973379822.4115001,186074432842.80402
2017-07-22,198.57825000000003,209.19376900000003,176.57448,186.10899299999997,402070894.416,78321444873.16321
2017-07-23,193.1779003,204.20263500000001,182.84985,198.57825000000003,201571947.5094,38923277058.2656
2017-07-24,204.93264000000005,222.42608,186.916191,193.1779003,665026382.8602,138689334996.1344
