day,open,high,low,close,volumefrom,volumeto
2017-06-01,2.422e-05,2.576e-05,2.285e-05,2.3899999999999998e-05,21214693.9,513.79
2017-06-02,2.3899999999999998e-05,2.933e-05,2.372e-05,2.8000000000000003e-05,29517246.52,784.28
2017-06-03,2.8000000000000003e-05,2.813e-05,2.565e-05,2.566e-05,22794877.75,615.13
2017-06-04,2.566e-05,2.566e-05,2.566e-05,2.566e-05,0.0,0.0
2017-06-05,2.7300000000000003e-05,3.45e-05,2.701e-05,3.055e-05,43104132.06,1352.93
2017-06-06,3.055e-05,3.092e-05,2.607e-05,2.913e-05,30885142.1,873.35
2017-06-07,2.913e-05,3.4e-05,2.897e-05,3.324e-05,33415946.09,1055.7
2017-06-08,3.324e-05,3.556e-05,3.021e-05,3.488e-05,25400427.0,824.3
2017-06-09,3.488e-05,4.985e-05,3.488e-05,4.281e-05,115163463.43,4775.56
2017-06-10,4.281e-05,5.6200000000000004e-05,3.8799999999999994e-05,3.898e-05,130953968.52,6490.84
2017-06-11,3.898e-05,5.25e-05,3.752e-05,4.88e-05,57133643.43,2585.94
2017-06-12,4.88e-05,7.175e-05,4.514e-05,6.184e-05,166764417.64,9917.32
2017-06-13,6.184e-05,8.966e-05,6.148e-05,7.137e-05,183455365.47,14269.34
2017-06-14,7.137e-05,7.543e-05,6.7e-05,6.712e-05,56476523.84,3982.46
2017-06-15,6.712e-05,7.472e-05,6.004e-05,7.203e-05,57274820.82,3768.21
2017-06-16,7.203e-05,7.48e-05,6.318e-05,6.742e-05,41332885.44,2850.77
2017-06-17,6.742e-05,6.851e-05,6.05e-05,6.351e-05,33764860.66,2172.48
2017-06-18,6.351e-05,6.419e-05,6.1e-05,6.146e-05,20032355.39,1251.68
2017-06-19,6.146e-05,7.240000000000001e-05,6.11e-05,6.792e-05,54981445.76,3749.4
2017-06-20,6.792e-05,6.989e-05,6.099e-05,6.465e-05,32472227.25,2135.69
2017-06-21,6.465e-05,6.9e-05,6.114e-05,6.413e-05,18855214.11,1217.08
2017-06-22,6.413e-05,6.566e-05,6.15e-05,6.239e-05,10693134.61,674.77
2017-06-23,6.239e-05,6.48e-05,6.183e-05,6.319e-05,11210807.64,706.36
2017-06-24,6.319e-05,6.9e-05,6.26e-05,6.682e-05,25485030.66,1688.27
2017-06-25,6.682e-05,7.984e-05,6.402e-05,6.628e-05,64448355.72,4679.51
2017-06-26,6.628e-05,7.487e-05,5.759e-05,7.112e-05,41078839.35,2756.82
2017-06-27,7.112e-05,7.215e-05,6.046e-05,6.445e-05,23674423.18,1543.17
