day,open,high,low,close,volumefrom,volumeto
2017-06-01,0.00010740000000000001,0.00014350000000000002,0.0001065,0.00013869999999999998,784508690.5,98900.89
2017-06-02,0.00013869999999999998,0.00014040000000000002,0.0001155,0.00011740000000000002,343383403.18,43439.96
2017-06-03,0.00011740000000000002,0.000125,0.0001053,0.0001075,214176861.03,24613.49
2017-06-04,0.0001075,0.0001075,0.0001075,0.0001075,0.0,0.0
2017-06-05,0.0001133,0.0001133,0.0001069,0.0001075,65217187.85,7203.96
2017-06-06,0.0001075,0.0001075,9.698e-05,9.873e-05,168879015.55,17049.36
2017-06-07,9.873e-05,0.0001075,9.7e-05,0.00010190000000000001,214220637.11,21785.9
2017-06-08,0.00010190000000000001,0.00010729999999999999,0.0001,0.00010180000000000001,131659616.59,13685.38
2017-06-09,0.00010180000000000001,0.000106,9.82e-05,9.98e-05,119686307.86,12240.35
2017-06-10,9.98e-05,0.00010070000000000001,8.776e-05,8.926e-05,172333976.86,16268.06
2017-06-11,8.926e-05,9.589e-05,8.788e-05,9.141e-05,113941818.29,10455.39
2017-06-12,9.141e-05,9.533e-05,8.89e-05,9.259e-05,157135355.2,14529.48
2017-06-13,9.259e-05,0.0001025,9.14e-05,9.686e-05,151738813.5,14551.38
2017-06-14,9.686e-05,0.00011499999999999999,9.423e-05,0.0001063,338044445.92,35456.48
2017-06-15,0.0001063,0.00010859999999999998,9.836e-05,0.00010120000000000001,167825659.87,17332.83
2017-06-16,0.00010120000000000001,0.0001036,9.97e-05,0.00010090000000000001,78185421.99,7927.16
2017-06-17,0.00010090000000000001,0.00010109999999999999,9.751e-05,9.834e-05,85557130.33,8464.64
2017-06-18,9.834e-05,0.0001088,9.779e-05,0.0001056,170823637.53,17779.66
2017-06-19,0.0001056,0.00010979999999999999,0.00010090000000000001,0.0001081,122759649.91,12815.03
2017-06-20,0.0001081,0.00012319999999999999,0.0001047,0.00011220000000000002,405155063.95,46650.73
2017-06-21,0.00011220000000000002,0.00011440000000000002,9.711e-05,0.0001025,158128583.92,16780.29
2017-06-22,0.0001025,0.0001062,9.845e-05,0.0001032,89720047.74,9146.42
2017-06-23,0.0001032,0.00010949999999999999,0.00010149999999999999,0.0001088,81911450.09,8649.46
2017-06-24,0.0001088,0.0001119,0.00010400000000000001,0.00010800000000000001,127440189.89,13800.68
